2022-23 Stats
Montreal Canadiens
Caufield,United States,26,10,36
Suzuki,Canada,21,30,51
Dach,Canada,12,23,35
Xhekaj,Canada,5,8,13
Evans,Canada,2,9,11
Anderson,Canada,21,10,31
Guhle,Canada,4,14,18
Hoffman,Canada,11,16,27
Dvorak,United States,10,18,28
Savard,Canada,3,14,17
